No,Name,Category,Keywords,Description,Best_Practice,Anti_Pattern,Example
1,React Hooks,React,"react,hooks,useState,useEffect,state",Modern React state management using functional components,Use functional components with hooks instead of class components,Don't use class components for new code unless absolutely necessary,"const [count, setCount] = useState(0)"
2,TypeScript Interfaces,TypeScript,"typescript,interface,types,structure",Define object shapes and contracts with interfaces,Define clear interfaces for all public APIs and data structures,Don't use 'any' type everywhere as it defeats the purpose of TypeScript,"interface User { id: number; name: string; }"
3,Async/Await,JavaScript,"async,await,promise,asynchronous",Handle asynchronous operations with async/await syntax,Use async/await for cleaner asynchronous code instead of .then() chains,Don't mix async/await with .then() in the same function,"const data = await fetchData()"
4,React Keys,React,"react,key,list,rendering,performance",Use unique keys when rendering lists in React,Always provide stable unique keys when mapping arrays to components,Don't use array index as key if items can be reordered or filtered,"<Item key={item.id} />"
5,Error Boundaries,React,"react,error,boundary,catch,fallback",Catch rendering errors in React components,Wrap major sections of your app with error boundaries to prevent crashes,Don't ignore error handling in components,"<ErrorBoundary><App /></ErrorBoundary>"
6,Semantic HTML,HTML,"html,semantic,a11y,accessibility",Use semantic HTML elements for better accessibility,Use semantic elements like nav main article section instead of divs,Don't use div for everything when semantic elements are available,"<nav><main><article>"
7,CSS Variables,CSS,"css,variables,custom-properties,theming",Use CSS custom properties for consistent theming,Define CSS variables in :root for colors spacing and common values,Don't hardcode color values throughout your CSS,"--primary-color: #007bff"
8,Responsive Images,Performance,"image,responsive,srcset,lazy,performance",Optimize images for different screen sizes,Use srcset and lazy loading for images to improve performance,Don't use fixed-size images for all devices,"<img srcset loading=lazy>"
9,TypeScript Generics,TypeScript,"typescript,generics,types,reusable",Create reusable type-safe functions and components,Use generics to make functions and classes work with multiple types,Don't duplicate code for different types when generics can be used,"function identity<T>(arg: T): T"
10,Component Composition,React,"react,composition,props,children,reusability",Build complex UIs by composing simple components,Prefer composition over inheritance for component reusability,Don't create deep inheritance hierarchies for components,"<Card><CardHeader /><CardBody /></Card>"
11,Immutable State,React,"react,state,immutable,spread,mutation",Never mutate state directly in React,Use spread operator or methods that return new objects to update state,Don't directly modify state objects or arrays,"setState({ ...state, key: value })"
12,API Error Handling,JavaScript,"api,fetch,error,try-catch,http",Handle API errors properly with try-catch,Always wrap API calls in try-catch and handle different error types,Don't assume API calls will always succeed without error handling,"try { await api() } catch(e) { handle }"
13,Debouncing Input,Performance,"debounce,input,performance,throttle,search",Debounce expensive operations triggered by user input,Debounce search inputs and auto-save operations to reduce API calls,Don't trigger API calls on every keystroke without debouncing,"debounce(handleSearch, 300)"
14,CSS Flexbox,CSS,"css,flexbox,layout,responsive,alignment",Use flexbox for flexible responsive layouts,Use flexbox for one-dimensional layouts and alignment,Don't use floats for layout when flexbox is more appropriate,"display: flex; justify-content: center"
15,Local Storage Safety,JavaScript,"localstorage,storage,json,error,quota",Safely use localStorage with error handling,Always wrap localStorage operations in try-catch for quota errors,Don't assume localStorage is always available or has unlimited space,"try { localStorage.setItem() } catch {}"
