No,Name,Category,Keywords,Description,Do,Dont,Severity
1,Use Semantic HTML,Accessibility,"html,semantic,a11y,accessibility,screen reader",Use semantic HTML elements for better accessibility and SEO,Use <nav> <main> <article> <section> <header> <footer>,Use <div> for everything when semantic elements are available,High
2,Responsive Images,Performance,"image,responsive,srcset,picture,lazy,performance",Optimize images for different screen sizes and lazy load,Use srcset sizes and lazy loading attributes,Use fixed-size images everywhere without optimization,Medium
3,CSS Custom Properties,Styling,"css,variables,custom properties,theming,dark mode",Use CSS variables for consistent theming and easy maintenance,Define variables in :root for colors spacing typography,Hardcode color and spacing values throughout stylesheets,Medium
4,Error Boundaries,React,"error,boundary,react,catch,fallback,crash",Catch rendering errors gracefully in React applications,Wrap major sections with ErrorBoundary components,Ignore error handling and let the entire app crash,High
5,Keyboard Navigation,Accessibility,"keyboard,tab,focus,a11y,navigation,trap",Ensure all interactive elements work with keyboard,Test tab order focus states and escape key behavior,Only support mouse interactions without keyboard support,High
6,API Error Handling,Reliability,"api,fetch,error,try-catch,http,network",Handle API errors properly with user-friendly messages,Use try-catch wrap API calls and show meaningful error messages,Assume all API calls succeed without error handling,High
7,Input Validation,Security,"validation,input,sanitize,xss,injection",Validate and sanitize all user inputs before processing,Validate on both client and server sanitize HTML inputs,Trust user input without validation or sanitization,Critical
8,Loading States,UX,"loading,skeleton,spinner,feedback,ux",Show loading feedback for asynchronous operations,Display loading spinners or skeleton screens during data fetch,Leave UI blank or frozen without loading indication,Medium
9,Debounce Search,Performance,"debounce,search,input,performance,api",Debounce search inputs to reduce unnecessary API calls,Debounce search with 300-500ms delay to batch requests,Fire API request on every keystroke without debouncing,High
10,Avoid Deep Nesting,Code Quality,"nesting,readability,complexity,refactor",Keep code nesting shallow for better readability,Extract nested logic into separate functions max 3-4 levels,Create deeply nested if-else or callback hell structures,Medium
11,Use TypeScript,Type Safety,"typescript,types,interfaces,generics,strict",Use TypeScript for type safety and better DX,Enable strict mode define interfaces for all data structures,Use any type everywhere defeating the purpose of TypeScript,High
12,Accessible Colors,Accessibility,"color,contrast,wcag,a11y,vision",Ensure sufficient color contrast for readability,Maintain 4.5:1 contrast ratio for normal text 3:1 for large,Use low contrast colors that are hard to read,High
13,Mobile First,Responsive,"mobile,responsive,breakpoint,media query",Design mobile-first then enhance for larger screens,Start with mobile styles then add desktop enhancements,Design for desktop only and try to squeeze into mobile,High
14,Optimize Bundle,Performance,"bundle,webpack,split,lazy,tree shake",Optimize bundle size with code splitting and tree shaking,Use dynamic imports lazy load routes analyze bundle size,Import entire libraries when only using small parts,Medium
15,Test Critical Paths,Testing,"test,unit,integration,e2e,critical,coverage",Write tests for critical user flows and business logic,Test authentication checkout payment and data mutations,Skip testing assuming everything works in production,High
